magnitude_bin,episode_id,anchor_event_id,anchor_time_utc,anchor_magnitude,maximum_magnitude,member_count,member_time_min_utc,member_time_max_utc,member_event_ids_sha256,member_event_ids
m5_6,b67f288577d895961116fbb54c8f28be70c6a000131f52d967e29a28745998cc,eqv1_6enunqlbx5f3lfkywpcv2xadmb,1970-01-04T17:32:40Z,5.2,5.9,8,1970-01-04T17:32:40Z,1970-01-14T10:14:17Z,78852679ef4937df3a26007a3d03bb1b94d2ece0bda5ad277ac48fa650f9f40d,eqv1_6enunqlbx5f3lfkywpcv2xadmb|eqv1_5xzjzb6wh6skcgctoc4uvrhvrz|eqv1_zskgo2bhjuizf5yqxiaajfgcwh|eqv1_p63xekqrdar4ueegkbb2zm6463|eqv1_j6krvewunyfggu6pwigpmi264f|eqv1_7njjbybgrxgfnmfs4r3zgppkrg|eqv1_qpwopwchoauhzv62xwzs2zdz3m|eqv1_usluqtfdv27ytmuvvh44f2djjp
m5_6,7ae4a6dd84db3027e247a2b33aa67a3b675601aabc2e734bff40cb2a2c386c5f,eqv1_yhidjuid7s4ryhy3pblkngblzi,1970-02-05T03:40:00Z,5.7,5.7,1,1970-02-05T03:40:00Z,1970-02-05T03:40:00Z,88a7601dd0f6d36cc80e8179f244efe3e189daacb7f50ba441a871d58e335dc6,eqv1_yhidjuid7s4ryhy3pblkngblzi
m5_6,51e90a7f46ac8dce36f1a5eb39b28769cc37a40eb798fa60edabd24fcfcc341a,eqv1_t7pcj3tskqvu7iahel2uvmpsmo,1970-02-06T22:32:39Z,5.5,5.5,1,1970-02-06T22:32:39Z,1970-02-06T22:32:39Z,e42dee16c3940ab9508b6cf587ceaff1a9a7ed8e0a1adb926094546e5df7d32f,eqv1_t7pcj3tskqvu7iahel2uvmpsmo
m5_6,f8ac8629370aec5d2ca79796c76716b6a5734ceb147230462536d5f6a38a072f,eqv1_iklkbpft5vm4zcgnuxwjdgi5z6,1970-03-11T01:37:20Z,5.2,5.9,3,1970-03-11T01:37:20Z,1970-03-12T18:09:53Z,29bb08c24ca01c63ced0b55c90843c437b97d3a593059445dab9ecd0c025ef76,eqv1_iklkbpft5vm4zcgnuxwjdgi5z6|eqv1_hywlvsxg7p3t5yvw6pzyimakj7|eqv1_vjnsmajak3h7kvqxgqsd5kyu46
m5_6,e6f8a2119416f1a0c1d066c2b7fe837546acceebe1e7e7ffae4d47f744ba9b8f,eqv1_4gmmaxhbu32rd734etnm7amrol,1970-03-29T03:48:48Z,5.0,5.0,1,1970-03-29T03:48:48Z,1970-03-29T03:48:48Z,8d331a18d4afcb5c035dd88f6ade0decb8346247f478c4fabc1963b07d1325bc,eqv1_4gmmaxhbu32rd734etnm7amrol
m5_6,30510c890c70121e50996441e6af477487404bcf297599fdb91078ed1eb1bdaf,eqv1_iosncihmayqcrb6zczllca3a7r,1970-07-29T05:50:57Z,5.9,5.9,2,1970-07-29T05:50:57Z,1970-07-29T05:50:57Z,eb6586ac23549adda20483e9e76c51d328161772c191b28628fe42fcf6848132,eqv1_iosncihmayqcrb6zczllca3a7r|eqv1_pyhyfc2o6uapapzga5ni7rkif4
m5_6,075feff495e14f09cbe539a734f164963992730a25bf7265bd1d1dbcf9b19da3,eqv1_c6l5vhvlrnn7sbyzt7dy23x5mn,1970-07-31T13:10:49Z,5.4,5.4,1,1970-07-31T13:10:49Z,1970-07-31T13:10:49Z,9a8250ce8b7769f8f5505ec5aa5a776b94d3a80efd634216e446623cfecd7b6b,eqv1_c6l5vhvlrnn7sbyzt7dy23x5mn
m5_6,fd492e6f03d4a236bb1972d88526c0746626fcae37b9cbd044dd6a05c5cdb756,eqv1_fdk7eh5vvq4bizx5gxzcukov7a,1970-09-05T13:37:33Z,5.5,5.5,2,1970-09-05T13:37:33Z,1970-09-05T13:37:33Z,9d63648b98139d592866a6f0feaf6a7dc8e100fe7fa3b2a7b6e57936bfe2b231,eqv1_fdk7eh5vvq4bizx5gxzcukov7a|eqv1_zmfaa65pibrk54s544r7pkh7vb
m5_6,d28873d96a077165f9432101803dd1dbd58399285216c06b059d10d2f9ed07ca,eqv1_34nb6uuhkrow4dffnl2qumcbsn,1970-11-08T09:15:56Z,5.5,5.5,2,1970-11-08T09:15:56Z,1970-11-08T09:15:56Z,b872ca97abdcabd6c3e96615ccbfeb666b60945b3afaf3bf4f5fdd85802c67fe,eqv1_34nb6uuhkrow4dffnl2qumcbsn|eqv1_xjngnvwlg6i7v6xfayzj3oh2yn
m5_6,b241d8b26296b9a88aca59c491bc1a2ebc71c63504b419c746ca4eb938a03aa8,eqv1_qlrearxz43t5w4k5vfkadzdv5u,1970-11-16T04:57:31Z,5.4,5.4,1,1970-11-16T04:57:31Z,1970-11-16T04:57:31Z,0974a0367b7da8a1bf963998d71886a68c8ae54cadeb75855b69b8d03455bc23,eqv1_qlrearxz43t5w4k5vfkadzdv5u
