fold_id,role,horizon_days,axis,statistical_status,availability_status,evaluable,issue_count,magnitude_bin,issue_target_pair_count,unique_event_count,episode_sampling_status,touched_episode_count,anchor_target_count,subsequent_target_event_count,episode_balanced_total_weight
C_DEV_2000_2004,development,7,operational_weekly,descriptive_operational_nonindependent,available,True,260,m4_plus,464,464,not_applicable_training_diagnostic_bin,,,,
C_DEV_2000_2004,development,7,operational_weekly,descriptive_operational_nonindependent,available,True,260,m5_6,96,96,formal_fixed_anchor_episode_population,75,75,21,75.00000000000001
C_DEV_2000_2004,development,7,operational_weekly,descriptive_operational_nonindependent,available,True,260,m6_plus,15,15,formal_fixed_anchor_episode_population,15,15,0,15.0
C_DEV_2000_2004,development,7,primary_exposure,primary_independent_exposure_axis,available,True,44,m4_plus,87,87,not_applicable_training_diagnostic_bin,,,,
C_DEV_2000_2004,development,7,primary_exposure,primary_independent_exposure_axis,available,True,44,m5_6,16,16,formal_fixed_anchor_episode_population,13,12,4,11.9
C_DEV_2000_2004,development,7,primary_exposure,primary_independent_exposure_axis,available,True,44,m6_plus,3,3,formal_fixed_anchor_episode_population,3,3,0,3.0
C_DEV_2000_2004,development,30,operational_weekly,descriptive_operational_nonindependent,available,True,257,m4_plus,1945,464,not_applicable_training_diagnostic_bin,,,,
C_DEV_2000_2004,development,30,operational_weekly,descriptive_operational_nonindependent,available,True,257,m5_6,391,96,formal_fixed_anchor_episode_population,75,75,21,75.00000000000001
C_DEV_2000_2004,development,30,operational_weekly,descriptive_operational_nonindependent,available,True,257,m6_plus,61,15,formal_fixed_anchor_episode_population,15,15,0,15.0
C_DEV_2000_2004,development,30,primary_exposure,primary_independent_exposure_axis,available,True,29,m4_plus,215,215,not_applicable_training_diagnostic_bin,,,,
C_DEV_2000_2004,development,30,primary_exposure,primary_independent_exposure_axis,available,True,29,m5_6,47,47,formal_fixed_anchor_episode_population,42,39,8,39.28333333333333
C_DEV_2000_2004,development,30,primary_exposure,primary_independent_exposure_axis,available,True,29,m6_plus,7,7,formal_fixed_anchor_episode_population,7,7,0,7.0
C_DEV_2000_2004,development,90,operational_weekly,descriptive_operational_nonindependent,available,True,248,m4_plus,5679,464,not_applicable_training_diagnostic_bin,,,,
C_DEV_2000_2004,development,90,operational_weekly,descriptive_operational_nonindependent,available,True,248,m5_6,1135,96,formal_fixed_anchor_episode_population,75,75,21,75.00000000000001
C_DEV_2000_2004,development,90,operational_weekly,descriptive_operational_nonindependent,available,True,248,m6_plus,183,15,formal_fixed_anchor_episode_population,15,15,0,15.0
C_DEV_2000_2004,development,90,primary_exposure,primary_independent_exposure_axis,available,True,14,m4_plus,348,348,not_applicable_training_diagnostic_bin,,,,
C_DEV_2000_2004,development,90,primary_exposure,primary_independent_exposure_axis,available,True,14,m5_6,76,76,formal_fixed_anchor_episode_population,59,57,19,57.83333333333334
C_DEV_2000_2004,development,90,primary_exposure,primary_independent_exposure_axis,available,True,14,m6_plus,13,13,formal_fixed_anchor_episode_population,13,13,0,13.0
C_DEV_2000_2004,development,180,operational_weekly,descriptive_operational_nonindependent,available,True,235,m4_plus,10835,464,not_applicable_training_diagnostic_bin,,,,
C_DEV_2000_2004,development,180,operational_weekly,descriptive_operational_nonindependent,available,True,235,m5_6,2155,96,formal_fixed_anchor_episode_population,75,75,21,75.00000000000001
C_DEV_2000_2004,development,180,operational_weekly,descriptive_operational_nonindependent,available,True,235,m6_plus,363,15,formal_fixed_anchor_episode_population,15,15,0,15.0
C_DEV_2000_2004,development,180,primary_exposure,primary_independent_exposure_axis,available,True,8,m4_plus,384,384,not_applicable_training_diagnostic_bin,,,,
