row_id,fold_id,issue_time_utc,cluster_id,representative_cell_index,B0,B0_R30,outcome,case_id
1,fold_1,2023-10-18T16:00:00Z,89dd2f4dcd300cf9744ec26fb38f894ec31a105c3bcbc739e850af99652fc59e,12357,True,True,both_hit,
2,fold_1,2023-10-18T16:00:00Z,e2633f82be44e86712d69834b4f2d596cda86847bc6a3e256de9f33fd0a96876,9884,False,False,both_miss,
3,fold_1,2023-11-22T16:00:00Z,10f4293cb49fa075cacd293ce19e263df01b6888a5ec14d24f7d6371604c9936,9739,False,True,gain,subei_20231201
4,fold_1,2023-11-22T16:00:00Z,283e103a83378d888e9dd6526559c2c194f384605c1f8de7f4798436d6cb2ca5,12071,True,True,both_hit,
5,fold_1,2023-11-22T16:00:00Z,f84ae1fae90df7d05c1fef71e15169061177908ee30d6567e24d80fbd79bd59f,789,False,False,both_miss,
6,fold_1,2023-12-27T16:00:00Z,7007abf2eab810150bcce1157361625979bacd6b52fd6a88564102233e63e41f,12750,True,True,both_hit,
7,fold_1,2024-03-06T16:00:00Z,6726f2c9e7e7de767f3277f1d86595c94244a3b56b126020964a1a5e1d65b2f5,9571,False,False,both_miss,
8,fold_1,2024-03-06T16:00:00Z,dccab079d56e831efd655c8c5533e561d23738244464b19747759b70255d3976,6071,False,True,gain,zaduo_20240307
9,fold_2,2024-08-07T16:00:00Z,fe1c02a83a0ec5f0d22d3de7f35e742173f438d638882c4103208d020aa7abb4,11934,False,True,gain,kuche_20240822
10,fold_2,2024-10-16T16:00:00Z,06dbe6fcf4783cb6848b8d9ed4f6af24864c14d50a37bc15891ecaa378ac200d,12625,True,True,both_hit,
11,fold_2,2024-10-16T16:00:00Z,b33ea2715499fbd3679393bf2cc3b64a541f307a9a48f644026c5b6cf8df67ab,11934,False,True,gain,kuche_20241026
12,fold_2,2024-12-25T16:00:00Z,18f3041800fc452e7d2182fc52d31d695b8211ba7054f89a64387322091bf4cb,6711,False,False,both_miss,
13,fold_2,2024-12-25T16:00:00Z,394c2c70628a6ac93adf45f2e2d95d338f62ba6a9dcc5a136a7c888c5cf5a1c5,3033,False,False,both_miss,
14,fold_2,2025-01-29T16:00:00Z,ab74089f40b9bf578ca452257993b5bc9dfeaa542093033ad7d4af6d2cbae0db,12241,True,True,both_hit,
15,fold_3,2025-09-10T16:00:00Z,a3e4d4261a7e4afbd19f476b047d0b639f532f56fe0eaf5ed66d80de434b86dd,3947,False,False,both_miss,
16,fold_3,2025-09-10T16:00:00Z,f4db3c4f153512f60c33df625540531860f5af4b0f88047eb381e36bd0b879d7,6581,False,False,both_miss,
17,fold_3,2025-10-15T16:00:00Z,5318b0219c26b714a022679d0261771639359f01eae61b029f7af8243b94a658,13629,False,False,both_miss,
18,fold_3,2025-11-19T16:00:00Z,3f7666164e6c8781602245fdb94222096433dfffc9d253a21a9b91ca9c01a2e6,6055,False,False,both_miss,
19,fold_3,2025-12-24T16:00:00Z,6cf3339e955fc30b705c1e88fbb57bd676501a472880ba6c446e6b225b380556,10745,False,False,both_miss,
20,fold_3,2025-12-24T16:00:00Z,d82032109e531e92f2eb1987f96cc5c896c331e29b162d4614e7ccab47e32df9,1735,False,False,both_miss,
21,fold_3,2026-01-28T16:00:00Z,33f40b66f49dc513d20d314194f6f6b2e0f49d1a08127e742ee452b0221c8d0d,11935,False,False,both_miss,
