horizon_days,area_budget_km2,model_id,cluster_count,hit_count,recall,recall_gain_vs_b0,bootstrap_lower_95,bootstrap_upper_95,bootstrap_positive_gain_replicate_proportion
30,300000,B0,21,4,0.19047619,0.00000000,,,
30,300000,B0_R30,21,7,0.33333333,0.14285714,-0.04761905,0.33333333,0.87900000
30,450000,B0,21,4,0.19047619,0.00000000,,,
30,450000,B0_R30,21,9,0.42857143,0.23809524,0.09523810,0.42857143,0.99900000
30,600000,B0,21,5,0.23809524,0.00000000,,,
30,600000,B0_R30,21,9,0.42857143,0.19047619,0.04761905,0.38095238,0.99050000
30,750000,B0,21,6,0.28571429,0.00000000,,,
30,750000,B0_R30,21,9,0.42857143,0.14285714,-0.04761905,0.33333333,0.88250000
30,960000,B0,21,8,0.38095238,0.00000000,,,
30,960000,B0_R30,21,11,0.52380952,0.14285714,-0.04761905,0.33333333,0.88500000
90,300000,B0,22,4,0.18181818,0.00000000,,,
90,300000,B0_R30,22,7,0.31818182,0.13636364,-0.04545455,0.31818182,0.88750000
90,450000,B0,22,4,0.18181818,0.00000000,,,
90,450000,B0_R30,22,8,0.36363636,0.18181818,0.04545455,0.36363636,0.99300000
90,600000,B0,22,4,0.18181818,0.00000000,,,
90,600000,B0_R30,22,8,0.36363636,0.18181818,0.04545455,0.36363636,0.99300000
90,750000,B0,22,6,0.27272727,0.00000000,,,
90,750000,B0_R30,22,8,0.36363636,0.09090909,-0.09090909,0.27272727,0.77900000
90,960000,B0,22,8,0.36363636,0.00000000,,,
90,960000,B0_R30,22,10,0.45454545,0.09090909,-0.09090909,0.27272727,0.78550000
